THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone
 OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E
 148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3
 .00; 1242x2688; 416871149)"
41.237.138.231 - - [14/Nov/2022:10:24:39 +0000] "GET /wp-content/uploads/2022/11/MACNCHEESE-200x200.jpg HTTP/1.1" 200 24050 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
41.237.138.231 - - [14/Nov/2022:10:24:39 +0000] "GET /wp-content/uploads/2022/11/LOADED-FRIES-copy-2-200x200.jpg HTTP/1.1" 200 32194 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
41.237.138.231 - - [14/Nov/2022:10:24:39 +0000] "GET /wp-content/uploads/2022/11/LOADED-WAFFLE-200x200.jpg HTTP/1.1" 200 26892 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
41.237.138.231 - - [14/Nov/2022:10:24:39 +0000] "GET /wp-content/uploads/2022/11/ba-200x200.jpg HTTP/1.1" 200 20131 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
41.237.138.231 - - [14/Nov/2022:10:24:39 +0000] "GET /wp-content/uploads/2022/11/ch-200x200.jpg HTTP/1.1" 200 20416 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
41.237.138.231 - - [14/Nov/2022:10:24:39 +0000] "GET /wp-content/uploads/2022/11/Layer-1-1-1024x867.png HTTP/1.1" 200 32625 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
41.237.138.231 - - [14/Nov/2022:10:24:39 +0000] "GET /wp-content/uploads/2022/11/Layer-0.png HTTP/1.1" 200 386245 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
199.244.88.229 - - [14/Nov/2022:10:24:35 +0000] "GET / HTTP/1.1" 200 68808 "http://crispyhen.com" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"
41.237.138.231 - - [14/Nov/2022:10:24:39 +0000] "GET /wp-content/uploads/2022/11/Picture1-copy.png HTTP/1.1" 200 672365 "https://crispyhen.com/?fbclid=PAAaYg_g5xOK0THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3.00; 1242x2688; 416871149)"
31.219.158.219 - - [14/Nov/2022:10:24:49 +0000] "GET /wp-content/uploads/2022/11/Spicy-Honey-600x600.jpg HTTP/1.1" 200 35657 "https://crispyhen.com/?fbclid=PAAaaKbDxdH_19v3i29q-rUvdmmf2oc_M-tT6EAmYY64DyHvlJyaHArGkgJQs" "Mozilla/5.0 (Linux; Android 12; SM-F926B Build/SP2A.220305.013; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.5195.136 Mobile Safari/537.36 Instagram 260.0.0.23.115 Android (32/12; 420dpi; 840x2081; samsung; SM-F926B; q2q; qcom; en_US; 416690770)"
196.150.164.37 - - [14/Nov/2022:10:24:53 +0000] "GET /wp-content/uploads/2021/01/responsive_bg01.png HTTP/1.1" 404 501 "-" "Mozilla/5.0 (Linux; Android 12; SM-A715F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36 Instagram 260.0.0.23.115 Android (31/12; 420dpi; 1080x2270; samsung; SM-A715F; a71; qcom; en_GB; 416690770)"
197.37.117.208 - - [14/Nov/2022:10:24:53 +0000] "GET /loklebackend/public/api/v1/passengers/captains/undefined HTTP/1.1" 404 11405 "-" "okhttp/4.9.1"
